[2014-02-17 00:33:47] Finished 2 battle, 56 sec this time, 112 sec total
[2014-02-17 00:34:43] Finished 3 battle, 51 sec this time, 168 sec total
[2014-02-17 00:35:41] Finished 4 battle, 53 sec this time, 226 sec total
[2014-02-17 00:36:35] Finished 5 battle, 49 sec this time, 280 sec total
[2014-02-17 00:37:30] Finished 6 battle, 50 sec this time, 335 sec total
[2014-02-17 00:38:25] Finished 7 battle, 50 sec this time, 390 sec total
[2014-02-17 00:39:18] Finished 8 battle, 48 sec this time, 443 sec total
[2014-02-17 00:40:11] Finished 9 battle, 48 sec this time, 496 sec total
[2014-02-17 00:41:08] Finished 10 battle, 52 sec this time, 553 sec total
[2014-02-17 00:42:06] Finished 11 battle, 53 sec this time, 611 sec total
[2014-02-17 00:43:08] Finished 12 battle, 57 sec this time, 673 sec total
[2014-02-17 00:44:12] Finished 13 battle, 59 sec this time, 737 sec total
[2014-02-17 00:45:15] Finished 14 battle, 57 sec this time, 800 sec total
[2014-02-17 00:46:19] Finished 15 battle, 57 sec this time, 864 sec total
[2014-02-17 00:47:17] Finished 16 battle, 53 sec this time, 922 sec total
[2014-02-17 00:48:13] Finished 17 battle, 51 sec this time, 978 sec total
[2014-02-17 00:49:07] Finished 18 battle, 49 sec this time, 1032 sec total
[2014-02-17 00:50:00] Finished 19 battle, 48 sec this time, 1085 sec total
[2014-02-17 00:50:58] Finished 20 battle, 53 sec this time, 1143 sec total
[2014-02-17 00:51:51] Finished 21 battle, 48 sec this time, 1196 sec total
[2014-02-17 00:52:49] Finished 22 battle, 53 sec this time, 1254 sec total
[2014-02-17 00:53:45] Finished 23 battle, 51 sec this time, 1310 sec total
[2014-02-17 00:54:40] Finished 24 battle, 50 sec this time, 1365 sec total
[2014-02-17 00:55:36] Finished 25 battle, 49 sec this time, 1421 sec total
[2014-02-17 00:56:33] Finished 26 battle, 51 sec this time, 1478 sec total
[2014-02-17 00:57:33] Finished 27 battle, 56 sec this time, 1538 sec total
[2014-02-17 00:58:34] Finished 28 battle, 56 sec this time, 1599 sec total
[2014-02-17 08:03:44] Finished 1 battle, 65 sec this time, 65 sec total
[2014-02-17 08:04:38] Finished 2 battle, 49 sec this time, 119 sec total
[2014-02-17 08:05:29] Finished 3 battle, 46 sec this time, 170 sec total
[2014-02-17 08:06:19] Finished 4 battle, 45 sec this time, 220 sec total
[2014-02-17 08:07:15] Finished 5 battle, 50 sec this time, 276 sec total
[2014-02-17 08:08:19] Finished 6 battle, 57 sec this time, 340 sec total
[2014-02-17 08:09:25] Finished 7 battle, 61 sec this time, 406 sec total
[2014-02-17 08:10:31] Finished 8 battle, 60 sec this time, 472 sec total
[2014-02-17 08:11:27] Finished 9 battle, 50 sec this time, 528 sec total
[2014-02-17 08:12:25] Finished 10 battle, 52 sec this time, 586 sec total
[2014-02-17 08:13:20] Finished 11 battle, 50 sec this time, 641 sec total
[2014-02-17 08:14:33] Finished 12 battle, 63 sec this time, 714 sec total
[2014-02-17 08:15:35] Finished 13 battle, 54 sec this time, 776 sec total
[2014-02-17 08:16:46] Finished 14 battle, 60 sec this time, 847 sec total
[2014-02-17 08:17:47] Finished 15 battle, 49 sec this time, 908 sec total
[2014-02-17 08:19:02] Finished 16 battle, 68 sec this time, 983 sec total
[2014-02-17 08:19:56] Finished 17 battle, 49 sec this time, 1037 sec total
[2014-02-17 08:21:01] Finished 18 battle, 58 sec this time, 1102 sec total
[2014-02-17 08:22:03] Finished 19 battle, 56 sec this time, 1164 sec total
[2014-02-17 08:23:02] Finished 20 battle, 49 sec this time, 1223 sec total
[2014-02-17 08:24:04] Finished 21 battle, 49 sec this time, 1285 sec total
[2014-02-17 08:25:11] Finished 22 battle, 59 sec this time, 1352 sec total
[2014-02-17 08:26:19] Finished 23 battle, 57 sec this time, 1420 sec total
[2014-02-17 08:27:31] Finished 24 battle, 63 sec this time, 1492 sec total
[2014-02-17 08:28:30] Finished 25 battle, 54 sec this time, 1551 sec total
[2014-02-17 08:29:33] Finished 26 battle, 56 sec this time, 1614 sec total
[2014-02-17 08:30:31] Finished 27 battle, 53 sec this time, 1672 sec total
[2014-02-17 08:31:27] Finished 28 battle, 50 sec this time, 1728 sec total
[2014-02-17 08:32:21] Finished 29 battle, 48 sec this time, 1782 sec total
[2014-02-17 08:33:25] Finished 30 battle, 57 sec this time, 1846 sec total
[2014-02-17 08:34:38] Finished 31 battle, 65 sec this time, 1919 sec total
[2014-02-17 08:35:50] Finished 32 battle, 62 sec this time, 1991 sec total
[2014-02-17 08:36:59] Finished 33 battle, 61 sec this time, 2060 sec total
[2014-02-17 08:37:54] Finished 34 battle, 49 sec this time, 2115 sec total
[2014-02-17 08:38:51] Finished 35 battle, 49 sec this time, 2172 sec total
[2014-02-17 08:39:59] Finished 36 battle, 58 sec this time, 2240 sec total
[2014-02-17 08:40:57] Finished 37 battle, 53 sec this time, 2298 sec total
[2014-02-17 08:42:12] Finished 38 battle, 65 sec this time, 2373 sec total
[2014-02-17 08:43:28] Finished 39 battle, 65 sec this time, 2449 sec total
[2014-02-17 08:44:26] Finished 40 battle, 52 sec this time, 2507 sec total
[2014-02-17 08:45:22] Finished 41 battle, 51 sec this time, 2563 sec total
[2014-02-17 08:46:22] Finished 42 battle, 54 sec this time, 2623 sec total
[2014-02-17 08:47:12] Finished 43 battle, 43 sec this time, 2673 sec total
[2014-02-17 08:48:09] Finished 44 battle, 51 sec this time, 2730 sec total
[2014-02-17 08:49:19] Finished 45 battle, 64 sec this time, 2800 sec total
[2014-02-17 08:50:19] Finished 46 battle, 54 sec this time, 2860 sec total
[2014-02-17 08:51:15] Finished 47 battle, 51 sec this time, 2916 sec total
[2014-02-17 08:52:17] Finished 48 battle, 54 sec this time, 2978 sec total
[2014-02-17 08:53:22] Finished 49 battle, 57 sec this time, 3043 sec total
[2014-02-17 08:54:25] Finished 50 battle, 58 sec this time, 3106 sec total
[2014-02-17 08:55:22] Finished 51 battle, 50 sec this time, 3163 sec total
[2014-02-17 08:56:15] Finished 52 battle, 47 sec this time, 3216 sec total
[2014-02-17 08:57:23] Finished 53 battle, 62 sec this time, 3284 sec total
[2014-02-17 08:58:19] Finished 54 battle, 47 sec this time, 3340 sec total
[2014-02-17 08:59:22] Finished 55 battle, 53 sec this time, 3403 sec total
[2014-02-17 09:00:25] Finished 56 battle, 56 sec this time, 3466 sec total
[2014-02-17 09:01:20] Finished 57 battle, 50 sec this time, 3521 sec total
[2014-02-17 09:02:16] Finished 58 battle, 50 sec this time, 3577 sec total
[2014-02-17 09:03:18] Finished 59 battle, 57 sec this time, 3639 sec total
[2014-02-17 09:04:26] Finished 60 battle, 61 sec this time, 3707 sec total
[2014-02-17 09:05:39] Finished 61 battle, 61 sec this time, 3780 sec total
[2014-02-17 09:06:49] Finished 62 battle, 63 sec this time, 3850 sec total
[2014-02-17 09:07:52] Finished 63 battle, 54 sec this time, 3913 sec total
[2014-02-17 09:08:56] Finished 64 battle, 58 sec this time, 3977 sec total
[2014-02-17 09:09:46] Finished 65 battle, 45 sec this time, 4027 sec total
[2014-02-17 09:10:45] Finished 66 battle, 52 sec this time, 4086 sec total
[2014-02-17 09:11:53] Finished 67 battle, 60 sec this time, 4154 sec total
[2014-02-17 09:12:51] Finished 68 battle, 53 sec this time, 4212 sec total
[2014-02-17 09:14:07] Finished 69 battle, 64 sec this time, 4288 sec total
[2014-02-17 09:15:12] Finished 70 battle, 57 sec this time, 4353 sec total
[2014-02-17 09:16:26] Finished 71 battle, 68 sec this time, 4427 sec total
[2014-02-17 09:17:26] Finished 72 battle, 55 sec this time, 4487 sec total
[2014-02-17 09:18:21] Finished 73 battle, 47 sec this time, 4542 sec total
